"","WR","type","LU","value"
"38","Australia","bio_2011","Paddy rice",0.000878132
"87","Australia","bio_2011","Wheat",0.15645123
"136","Australia","bio_2011","Cereal grains NEC",0.063628213
"185","Australia","bio_2011","Vegetables, fruit, nuts",0.009209058
"234","Australia","bio_2011","Oil seeds",0.029761108
"283","Australia","bio_2011","Sugar cane, sugar beet",0.00357014
"381","Australia","bio_2011","Crops NEC",3.84e-05
"430","Australia","bio_2011","Cattle",0.02751564
"626","Australia","bio_2011","Raw milk",0.005637983
"675","Australia","bio_2011","Forestry",0.022163998
"1","Austria","bio_2011","Paddy rice",0
"50","Austria","bio_2011","Wheat",6.62e-05
"99","Austria","bio_2011","Cereal grains NEC",0.000109342
"148","Austria","bio_2011","Vegetables, fruit, nuts",8.99e-06
"197","Austria","bio_2011","Oil seeds",3.23e-05
"246","Austria","bio_2011","Sugar cane, sugar beet",1.01e-05
"344","Austria","bio_2011","Crops NEC",0
"393","Austria","bio_2011","Cattle",6.03e-06
"589","Austria","bio_2011","Raw milk",1.86e-06
"638","Austria","bio_2011","Forestry",0.000741917
"2","Belgium","bio_2011","Paddy rice",0
"51","Belgium","bio_2011","Wheat",4.55e-05
"100","Belgium","bio_2011","Cereal grains NEC",2.85e-05
"149","Belgium","bio_2011","Vegetables, fruit, nuts",1.14e-05
"198","Belgium","bio_2011","Oil seeds",4.79e-06
"247","Belgium","bio_2011","Sugar cane, sugar beet",1.41e-05
"345","Belgium","bio_2011","Crops NEC",5.84e-08
"394","Belgium","bio_2011","Cattle",3.25e-06
"590","Belgium","bio_2011","Raw milk",9.86e-07
"639","Belgium","bio_2011","Forestry",0.000141378
"34","Brazil","bio_2011","Paddy rice",0.12187627
"83","Brazil","bio_2011","Wheat",0.094694307
"132","Brazil","bio_2011","Cereal grains NEC",0.63418218
"181","Brazil","bio_2011","Vegetables, fruit, nuts",0.40822644
"230","Brazil","bio_2011","Oil seeds",1.1366227
"279","Brazil","bio_2011","Sugar cane, sugar beet",0.42507044
"377","Brazil","bio_2011","Crops NEC",0.15553994
"426","Brazil","bio_2011","Cattle",3.7494535
"622","Brazil","bio_2011","Raw milk",0.91477381
"671","Brazil","bio_2011","Forestry",0.4900626
"3","Bulgaria","bio_2011","Paddy rice",1.02e-05
"52","Bulgaria","bio_2011","Wheat",0.000402998
"101","Bulgaria","bio_2011","Cereal grains NEC",0.00019739
"150","Bulgaria","bio_2011","Vegetables, fruit, nuts",2.62e-05
"199","Bulgaria","bio_2011","Oil seeds",0.000308399
"248","Bulgaria","bio_2011","Sugar cane, sugar beet",0
"346","Bulgaria","bio_2011","Crops NEC",7.17e-05
"395","Bulgaria","bio_2011","Cattle",9.44e-06
